,EXERCÍCIO,NOME FUNÇÃO,NOME SUBFUNÇÃO,ORÇAMENTO REALIZADO (R$)
3392,2014,Educação,Educação básica,223777.6
3394,2014,Educação,Ensino superior,137022.14
3396,2014,Educação,Ensino superior,485.0
3397,2014,Educação,Ensino superior,190009.97
3398,2014,Educação,Ensino superior,90757.23
3399,2014,Educação,Ensino superior,362120.5
3400,2014,Educação,Ensino superior,240214.37
3402,2014,Educação,Ensino superior,1380.83
3408,2014,Educação,Ensino superior,345398.39
3414,2014,Educação,Ensino superior,2735.82
3417,2014,Educação,Ensino superior,91963.55
3422,2014,Educação,Ensino superior,592084.72
3423,2014,Educação,Ensino superior,4260.0
3426,2014,Educação,Ensino superior,46547.55
3433,2014,Educação,Ensino superior,56351.77
3434,2014,Educação,Ensino superior,15508.83
3435,2014,Educação,Ensino superior,79591.41
3437,2014,Educação,Ensino superior,13688.25
3438,2014,Educação,Ensino superior,80992.03
3439,2014,Educação,Ensino superior,58486.16
3441,2014,Educação,Ensino superior,1847.69
3442,2014,Educação,Ensino superior,3787.5
3443,2014,Educação,Ensino superior,451.6
3444,2014,Educação,Ensino superior,175384.85
3447,2014,Educação,Ensino superior,371868.2
3448,2014,Educação,Ensino superior,152772.25
3449,2014,Educação,Ensino superior,21014.97
3451,2014,Educação,Ensino superior,17352.36
3456,2014,Educação,Ensino superior,1845.6
3459,2014,Educação,Ensino superior,2807.42
3461,2014,Educação,Ensino superior,562657.92
3462,2014,Educação,Ensino superior,4008.0
3463,2014,Educação,Ensino superior,57146.98
3464,2014,Educação,Ensino superior,5019.1
3465,2014,Educação,Ensino superior,16296.56
3468,2014,Educação,Ensino superior,11520.0
3469,2014,Educação,Ensino superior,6044.12
3472,2014,Educação,Ensino superior,6598.79
3474,2014,Educação,Ensino superior,81846.72
3476,2014,Educação,Ensino superior,5352.15
3477,2014,Educação,Ensino superior,228328.2
3480,2014,Educação,Ensino superior,20756.7
3481,2014,Educação,Ensino superior,13919.53
3482,2014,Educação,Ensino superior,9108.0
3487,2014,Educação,Ensino superior,8004.24
3488,2014,Educação,Ensino superior,18751.78
3489,2014,Educação,Ensino superior,108763.92
3490,2014,Educação,Ensino superior,2335.8
3493,2014,Educação,Ensino superior,1760.0
3494,2014,Educação,Ensino superior,150107.02
3495,2014,Educação,Ensino superior,44219.3
3496,2014,Educação,Ensino superior,2650.85
3501,2014,Educação,Ensino superior,4992.73
3502,2014,Educação,Ensino superior,14008.73
3506,2014,Educação,Ensino superior,998.54
3511,2014,Educação,Ensino superior,366696.19
3513,2014,Educação,Ensino superior,39250.31
3516,2014,Educação,Ensino superior,190244.28
3520,2014,Educação,Ensino superior,3128.99
3522,2014,Educação,Ensino superior,57874.49
3524,2014,Educação,Ensino superior,54227.59
3527,2014,Educação,Ensino superior,6264.2
3528,2014,Educação,Ensino superior,10340.0
3529,2014,Educação,Ensino superior,14910.12
3531,2014,Educação,Ensino superior,66584.99
3533,2014,Educação,Ensino superior,77121.55
3534,2014,Educação,Ensino superior,103592.58
3535,2014,Educação,Ensino superior,145765.0
3539,2014,Educação,Ensino superior,77998.14
3540,2014,Educação,Ensino superior,175338.25
3541,2014,Educação,Ensino superior,394953.04
3543,2014,Educação,Ensino superior,1783.33
3544,2014,Educação,Ensino superior,46974.76
3545,2014,Educação,Ensino superior,380.0
3547,2014,Educação,Ensino superior,77899.49
3548,2014,Educação,Ensino superior,258972.82
3551,2014,Educação,Ensino superior,2558.96
3554,2014,Educação,Ensino superior,2336.4
