,ORÇAMENTO REALIZADO (R$),EXERCÍCIO
3384,0.0,2014
3385,5624915.69,2014
3386,995429.83,2014
3387,0.0,2014
3388,1776173.87,2014
3389,2462158.3,2014
3390,0.0,2014
3391,750978.7,2014
3392,223777.6,2014
3393,0.0,2014
3394,137022.14,2014
3395,758672.56,2014
3396,485.0,2014
3397,190009.97,2014
3398,90757.23,2014
3399,362120.5,2014
3400,240214.37,2014
3401,0.0,2014
3402,1380.83,2014
3403,0.0,2014
3404,0.0,2014
3405,0.0,2014
3406,1691175.0,2014
3407,0.0,2014
3408,345398.39,2014
3409,0.0,2014
3410,0.0,2014
3413,0.0,2014
3414,2735.82,2014
3415,0.0,2014
3416,2790156.0,2014
3417,91963.55,2014
3418,2233538.27,2014
3419,2250461.94,2014
3420,0.0,2014
3421,0.0,2014
3422,592084.72,2014
3423,4260.0,2014
3424,0.0,2014
3425,3320253.22,2014
3426,46547.55,2014
3427,0.0,2014
3428,1728420.54,2014
3429,0.0,2014
3430,6433695.0,2014
3431,0.0,2014
3432,1809921.75,2014
3433,56351.77,2014
3434,15508.83,2014
3435,79591.41,2014
3436,0.0,2014
3437,13688.25,2014
3438,80992.03,2014
3439,58486.16,2014
3440,2265484.84,2014
3441,1847.69,2014
3442,3787.5,2014
3443,451.6,2014
3444,175384.85,2014
3445,0.0,2014
3446,1694808.19,2014
3447,371868.2,2014
3448,152772.25,2014
3449,21014.97,2014
3450,0.0,2014
3451,17352.36,2014
3452,0.0,2014
3453,0.0,2014
3454,7191566.87,2014
3455,0.0,2014
3456,1845.6,2014
3457,0.0,2014
3458,0.0,2014
3459,2807.42,2014
3460,0.0,2014
3461,562657.92,2014
3462,4008.0,2014
3463,57146.98,2014
3464,5019.1,2014
3465,16296.56,2014
3466,5159139.18,2014
3467,971666.48,2014
3468,11520.0,2014
3469,6044.12,2014
3470,4854448.0,2014
3471,2512271.38,2014
3472,6598.79,2014
3473,11027727.12,2014
3474,81846.72,2014
3475,1146407.09,2014
3476,5352.15,2014
3477,228328.2,2014
3478,0.0,2014
3479,0.0,2014
3480,20756.7,2014
3481,13919.53,2014
3482,9108.0,2014
3483,5811125.61,2014
3484,3929471.98,2014
3485,0.0,2014
3486,2297636.49,2014
3487,8004.24,2014
3488,18751.78,2014
3489,108763.92,2014
3490,2335.8,2014
3491,0.0,2014
3492,14597396.12,2014
3493,1760.0,2014
3494,150107.02,2014
3495,44219.3,2014
3496,2650.85,2014
3497,5512763.43,2014
3498,0.0,2014
3499,0.0,2014
3500,12151000.0,2014
3501,4992.73,2014
3502,14008.73,2014
3503,0.0,2014
3504,3872368.63,2014
3505,0.0,2014
3506,998.54,2014
3507,1012727.05,2014
3508,636000.0,2014
3509,0.0,2014
3510,0.0,2014
3511,366696.19,2014
3512,0.0,2014
3513,39250.31,2014
3514,8736925.64,2014
3515,0.0,2014
3516,190244.28,2014
3517,0.0,2014
3518,0.0,2014
3519,4950749.55,2014
3520,3128.99,2014
3521,0.0,2014
3522,57874.49,2014
3523,1880842.64,2014
3524,54227.59,2014
3525,7219262.57,2014
3526,606709.55,2014
3527,6264.2,2014
3528,10340.0,2014
3529,14910.12,2014
3530,823663.62,2014
3531,66584.99,2014
3532,1262324.12,2014
3533,77121.55,2014
3534,103592.58,2014
3535,145765.0,2014
3536,0.0,2014
3537,1454238.56,2014
3538,0.0,2014
3539,77998.14,2014
3540,175338.25,2014
3541,394953.04,2014
3542,6261102.69,2014
3543,1783.33,2014
3544,46974.76,2014
3545,380.0,2014
3546,13954513.16,2014
3547,77899.49,2014
3548,258972.82,2014
3549,0.0,2014
3550,0.0,2014
3551,2558.96,2014
3552,1238213.14,2014
3553,1993552.01,2014
3554,2336.4,2014
3555,0.0,2014
3556,6361.37,2014
3557,4679689.74,2014
3558,381485.8,2014
3559,0.0,2014
3560,0.0,2014
3561,318000.0,2014
3562,521107.66,2014
3563,0.0,2014
3564,419247.7,2014
3565,599617.77,2014
3566,1194700.7,2014
3567,4204859.92,2014
3568,0.0,2014
3569,0.0,2014
3570,0.0,2014
3571,53568.0,2014
3572,866.94,2014
3573,661.94,2014
3574,0.0,2014
3575,0.0,2014
3576,53377.48,2014
3577,3057326.22,2014
3578,106450.0,2014
3579,6902470.66,2014
3580,3447.86,2014
3581,6990330.33,2014
3582,10136.3,2014
3583,807711.2,2014
3584,2328440.42,2014
3585,0.0,2014
3586,0.0,2014
3587,0.0,2014
3588,4704220.29,2014
3589,768557.01,2014
3590,9424.7,2014
3591,0.0,2014
3592,0.0,2014
3593,149396.0,2014
3594,0.0,2014
3595,436865.38,2014
3596,2713040.0,2014
3597,608146.98,2014
3598,1109667.79,2014
3599,0.0,2014
3600,3941640.67,2014
3601,79717.44,2014
3602,4082.62,2014
3603,0.0,2014
3604,3444193.45,2014
3605,98206.94,2014
3606,0.0,2014
3607,10119.72,2014
